File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron9500000,2,150,11,3216,1465,0.0216,0.3545,0.2192,0.0169
enron5830000,2,150,17,3870,1900,0.0354,0.4422,0.2572,0.0166
enron5810000,2,150,17,3846,1875,0.0336,0.4261,0.2562,0.0448
enron5740000,2,150,18,3934,1941,0.0372,0.4486,0.3194,0.0427
enron1070000,2,150,92,7958,3977,0.2158,1.1592,0.3326,0.0646
enron3590000,2,150,28,4859,2542,0.0674,0.5867,0.3546,0.0246
enron8320000,2,150,12,3359,1548,0.0234,0.366,0.2277,0.0167
enron3620000,2,150,28,4764,2430,0.0607,0.5676,0.3024,0.0479
enron1320000,2,150,75,7293,3662,0.1821,0.989,0.3791,0.0362
enron8860000,2,150,12,3250,1492,0.0213,0.3441,0.2175,0.0157
enron8050000,2,150,13,3397,1584,0.0241,0.3727,0.2307,0.0164
enron5800000,2,150,17,3858,1881,0.0354,0.4313,0.2554,0.0427
enron2490000,2,150,40,5668,2975,0.096,0.6961,0.3818,0.0535
enron1060000,2,150,93,8030,4011,0.2254,1.1638,0.3467,0.0375
enron4450000,2,150,23,4423,2281,0.0513,0.522,0.3474,0.0226
enron5720000,2,150,18,3931,1927,0.0374,0.4479,0.2603,0.0462
enron4650000,2,150,22,4249,2114,0.0422,0.5002,0.2711,0.0462
enron5470000,2,150,18,3955,1955,0.0367,0.4543,0.2594,0.0449
enron3030000,2,150,33,5152,2667,0.0718,0.6307,0.3121,0.1179
enron2550000,2,150,39,5462,2756,0.087,0.6577,0.2845,0.0507
enron9380000,2,150,11,3191,1411,0.0207,0.3353,0.2031,0.013
enron380000,2,150,259,11632,4968,0.4761,2.5559,0.4181,0.0822
enron9300000,2,150,11,3174,1402,0.0201,0.3358,0.2058,0.0127
enron6290000,2,150,16,3736,1807,0.0302,0.4067,0.2431,0.0908
enron6930000,2,150,15,3649,1766,0.0324,0.4028,0.2485,0.0163
enron2880000,2,150,35,5280,2717,0.0801,0.6231,0.3,0.0508
enron9250000,2,150,11,3183,1404,0.0202,0.3293,0.1996,0.0161
enron9800000,2,150,11,3141,1412,0.0207,0.3333,0.2597,0.012
enron7780000,2,150,13,3483,1655,0.0277,0.4003,0.2391,0.0403
enron5710000,2,150,18,3917,1902,0.0362,0.4447,0.2533,0.0456
enron5880000,2,150,17,3908,1964,0.0367,0.4502,0.2781,0.0455
enron8480000,2,150,12,3361,1568,0.0242,0.3736,0.2308,0.0402
enron5840000,2,150,17,3882,1912,0.0346,0.4953,0.2612,0.0431
